"","First.Name","Last.Name","Age","Rank","Classification","Date.of.Incident","Date.of.Death","Cause.Of.Death","Nature.Of.Death","Duty","Activity","Emergency","Property.Type","Year"
"1","Robert","Pollard",64,"Firefighter","Volunteer","Dec 31, 1999","Jan 1, 2000","Stress/Overexertion","Stroke","Response","Vehicle Passenger","Yes","Outdoor Property","2000"
"2","Lee","Purdy",57,"Pump Operator/Inspector","Volunteer","Jan 8, 2000","Jan 8, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2000"
"3","Ronald","Osadacz",36,"First Assistant Chief","Volunteer","Jan 11, 2000","Jan 11, 2000","Stress/Overexertion","Heart Attack","Response","Advance Hose Lines/Fire Attack","Yes","Street/Road"," 2000"
"4","Allen","Streeter",58,"Firefighter","Volunteer","Jan 11, 2000","Jan 11, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property"," 2000"
"5","Gary","Bankert, Sr",37,"Firefighter","Volunteer","Jan 15, 2000","Jan 15, 2000","Trapped","Suffocation","Training","Other","No","N/A"," 2000"
"6","Juan","De Leon",53,"Captain","Career","Jan 17, 2000","Jan 17, 2000","Stress/Overexertion","Heart Attack","On-Duty","Support","No","Store/Office"," 2000"
"7","Ernest","Young",52,"Firefighter/Trustee","Volunteer","Jan 16, 2000","Jan 17, 2000","Fall","Trauma","On-Duty","In-Station Duties","No","N/A"," 2000"
"8","James","Altic",47,"Fire Chief","Volunteer","Jan 17, 2000","Jan 17, 2000","Impact","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2000"
"9","Brian","Burnett",23,"Firefighter","Volunteer","Oct 28, 1999","Jan 22, 2000","Impact","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2000"
"10","Walter","Gass",74,"Captain","Volunteer","Jan 27, 2000","Jan 27, 2000","Exposure","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
"11","Robert","Ketelson",59,"Firefighter","Volunteer","Jan 27, 2000","Jan 27, 2000","Stress/Overexertion","Heart Attack","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road"," 2000"
"12","Douglas","Stevens",42,"Firefighter, Training Officer","Volunteer","Feb 6, 2000","Feb 6, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Ventilation","Yes","Residential","2000"
"13","Richard","Spink",48,"Fire Lieutenant","Career","Feb 13, 2000","Feb 13, 2000","Stress/Overexertion","Heart Attack","Training","Support","No","Street/Road"," 2000"
"14","Kimberly","Smith",30,"Firefighter","Career","Feb 14, 2000","Feb 14, 2000","Trapped","Suffocation","On-Scene Fire","Search and Rescue","Yes","Public Assembly"," 2000"
"15","Lewis","Mayo III",44,"Firefighter","Career","Feb 14, 2000","Feb 14, 2000","Trapped","Suffocation","On-Scene Fire","Search and Rescue","Yes","Public Assembly"," 2000"
"16","Paul","Cooper",26,"Firefighter","Volunteer","Feb 11, 2000","Feb 14, 2000","Impact","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2000"
"17","James","Geiger",54,"Firefighter-EMT","Volunteer","Feb 19, 2000","Feb 19, 2000","Stress/Overexertion","Heart Attack","Response","Personal Vehicle Driver/Passenger","Yes","Outdoor Property"," 2000"
"18","Evangelino","Rodriguez",53,"Sergeant","Career","Feb 21, 2000","Feb 21, 2000","Impact","Trauma","On-Scene Fire","Water Supply","Yes","Store/Office"," 2000"
"19","Charles","Klick, Sr.",67,"Incident Commander","Volunteer","Jan 17, 2000","Feb 23, 2000","Stress/Overexertion","Stroke","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property"," 2000"
"20","Robert","Jackson",35,"Firefighter","Volunteer","Feb 29, 2000","Feb 29, 2000","Impact","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2000"
"21","David","Sutton",27,"Firefighter","Volunteer","Mar 4, 2000","Mar 4, 2000","Exposure","Suffocation","On-Scene Fire","Search and Rescue","Yes","Residential","2000"
"22","Donald","Wilson",50,"Assistant Chief","Volunteer","Mar 6, 2000","Mar 6, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Ventilation","Yes","Residential","2000"
"23","William","Blakemore",48,"Private","Career","Mar 8, 2000","Mar 8, 2000","Impact","Violence","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2000"
"24","Javier","Lerma",41,"Lieutenant","Career","Mar 8, 2000","Mar 8, 2000","Impact","Violence","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2000"
"25","Jerry","Coppin",56,"Training Officer","Volunteer","Mar 7, 2000","Mar 11, 2000","Stress/Overexertion","Stroke","On-Scene Emergency","Other","Yes","Outdoor Property"," 2000"
"26","Robert","Buhler",62,"Firefighter","Volunteer","Mar 6, 2000","Mar 16, 2000","Exposure","Burns","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property"," 2000"
"27","David","Sharp II",31,"Firefighter/Engineer","Career","Mar 17, 2000","Mar 17, 2000","Impact","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2000"
"28","Kevin","Sterenchuk",48,"Administrative District Chief","Career","Mar 27, 2000","Mar 27, 2000","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","Store/Office"," 2000"
"29","Michael","Queen",30,"Chief","Volunteer","Mar 28, 2000","Mar 28, 2000","Impact","Trauma","On-Duty","In-Station Duties","No","N/A"," 2000"
"30","Kendall","Bryant",36,"Firefighter/EMT","Career","Mar 31, 2000","Mar 31, 2000","Trapped","Suffocation","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
"31","Mike","Shortt",44,"Fire Chief","Career","Mar 15, 2000","Mar 31, 2000","Stress/Overexertion","Heart Attack","Training","Other","No","N/A"," 2000"
"32","Jessie","Y'Barbo",54,"Forest Technician III","Career","Mar 13, 2000","Apr 7, 2000","Vehicle Collision","Burns","On-Scene Fire","Vehicle Passenger","No","Outdoor Property","2000"
"33","James","Griffith",25,"Firefighter/Training Officer","Volunteer","Apr 7, 2000","Apr 7, 2000","Impact","Trauma","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property","2000"
"34","David","Maisano",38,"Captain","Volunteer","Apr 4, 2000","Apr 8, 2000","Fall","Other","On-Scene Fire","Support","Yes","Residential","2000"
"35","Michael","Baughn",46,"Firefighter","Volunteer","Apr 11, 2000","Apr 11, 2000","Stress/Overexertion","Heart Attack","Training","Search and Rescue","No","Vacant Property"," 2000"
"36","Rickey","Davis",33,"Firefighter/Paramedic","Career","Apr 20, 2000","Apr 20, 2000","Trapped","Burns","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
"37","Frederick","Brain",76,"Fire Police","Volunteer","Mar 18, 2000","Apr 24, 2000","Stress/Overexertion","Heart Attack","On-Scene Emergency","Other","Yes","Street/Road"," 2000"
"38","L.","Merrell",43,"Lieutenant","Career","Apr 29, 2000","Apr 29, 2000","Impact","Trauma","Response","Vehicle Passenger","Yes","Street/Road"," 2000"
"39","David","Liston",28,"Smokejumper","Career","Apr 29, 2000","Apr 29, 2000","Impact","Trauma","Training","Other","No","Outdoor Property"," 2000"
"40","Arnold","Blankenship, III",27,"Second Assistant Chief","Volunteer","Apr 30, 2000","Apr 30, 2000","Exposure","Suffocation","Training","Other","No","Residential"," 2000"
"41","Robert","Brannon, Jr.",43,"Lieutenant","Career","Apr 26, 2000","May 4, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2000"
"42","Carl","Payne",66,"Pilot, Wildland","Career","May 7, 2000","May 7, 2000","Impact","Trauma","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property","2000"
"43","Kenneth","Jesse",80,"Fire Police Officer","Volunteer","May 8, 2000","May 8, 2000","Stress/Overexertion","Heart Attack","Response","Support","Yes","Street/Road","2000"
"44","Arthur","Nilson, Jr.",75,"Company Member","Volunteer","May 13, 2000","May 13, 2000","Stress/Overexertion","Heart Attack","On-Duty","Support","No","N/A"," 2000"
"45","Samuel","Tobias",47,"Air Tactical Group Supv. Wildland","Career","May 15, 2000","May 15, 2000","Impact","Trauma","On-Scene Fire","Support","Yes","Outdoor Property"," 2000"
"46","Leo","Koponen",49,"Air Attack Pilot Wildland Contract","Career","May 15, 2000","May 15, 2000","Impact","Trauma","On-Scene Fire","Support","Yes","Outdoor Property"," 2000"
"47","Evan","Shirk",27,"Firefighter","Volunteer","May 27, 2000","May 27, 2000","Impact","Trauma","Response","Vehicle Driver","Yes","Street/Road"," 2000"
"48","Lyndell","Smith",46,"Firefighter","Volunteer","Jun 1, 2000","Jun 1, 2000","Impact","Trauma","Response","Vehicle Passenger","Yes","Street/Road","2000"
"49","George","Burton",48,"Firefighter/Rotor Craft Pilot","Career","Jun 4, 2000","Jun 4, 2000","Impact","Trauma","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property","2000"
"50","Whitney","Teehan, Jr.",66,"Captain","Volunteer","Jun 25, 2000","Jun 25, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Incident Command","Yes","Manufacturing"," 2000"
"51","Nathan","Pescatore",17,"Firefighter","Volunteer","Jul 2, 2000","Jul 2, 2000","Impact","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road","2000"
"52","Phillip","Ridings",52,"Firefighter","Volunteer","Jul 15, 2000","Jul 15, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
"53","Richard","Stark",62,"Ambulance Captain","Volunteer","Aug 2, 2000","Aug 2, 2000","Stress/Overexertion","Heart Attack","On-Scene Emergency","EMS/Patient Care","Yes","Street/Road","2000"
"54","Phillip","Conner",29,"Seasonal Wildland Firefighter","Volunteer","Aug 3, 2000","Aug 3, 2000","Impact","Trauma","Response","Support","Yes","Outdoor Property","2000"
"55","Bradley","Pierce",27,"Firefighter/Paramedic","Career","Aug 6, 2000","Aug 6, 2000","Stress/Overexertion","Heart Attack","On-Duty","Other","No","N/A","2000"
"56","Lisa","Farrow",30,"Firefighter","Volunteer","Aug 9, 2000","Aug 9, 2000","Stress/Overexertion","Suffocation","On-Scene Fire","Support","Yes","Residential","2000"
"57","Steven","Wilmot",47,"Captain","Career","Jul 18, 2000","Aug 9, 2000","Fall","Trauma","On-Duty","Other","Yes","Residential","2000"
"58","James","Burnett",51,"District Forester","Career","Aug 11, 2000","Aug 11, 2000","Exposure","Burns","On-Scene Fire","Water Supply","Yes","Outdoor Property"," 2000"
"59","Logan","Fields",51,"Assistant Chief","Career","Aug 12, 2000","Aug 12, 2000","Stress/Overexertion","Heart Attack","On-Duty","In-Station Duties","No","N/A"," 2000"
"60","Lester","Shadrick",53,"IFR Captain","Volunteer","Aug 13, 2000","Aug 13, 2000","Impact","Trauma","On-Duty","Advance Hose Lines/Fire Attack","Yes","Outdoor Property"," 2000"
"61","Grant","Trick",49,"First Assistant Chief","Volunteer","Aug 13, 2000","Aug 13, 2000","Stress/Overexertion","Heart Attack","On-Duty","Other","No","N/A"," 2000"
"62","Warren","Smith",28,"Firefighter, Private","Career","Aug 13, 2000","Aug 13, 2000","Trapped","Suffocation","Training","Other","No","Outdoor Property"," 2000"
"63","James","Renfroe",47,"Assistant Chief","Volunteer","Aug 14, 2000","Aug 14, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Water Supply","Yes","Outdoor Property"," 2000"
"64","Robert","Crump",37,"Firefighter","Career","Aug 17, 2000","Aug 17, 2000","Trapped","Suffocation","On-Scene Emergency","Search and Rescue","Yes","Street/Road"," 2000"
"65","Michael","Bishop",27,"Inmate Firefighter","Volunteer","Aug 23, 2000","Aug 23, 2000","Exposure","Electrocution","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property"," 2000"
"66","Rodgie","Braithwaite",26,"Inmate Firefighter","Volunteer","Aug 23, 2000","Aug 23, 2000","Exposure","Electrocution","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property"," 2000"
"67","Jamie","Quinones, Jr.",38,"Firefighter","Career","Aug 26, 2000","Aug 26, 2000","Impact","Violence","On-Duty","Other","No","Street/Road"," 2000"
"68","Albert","Voris, Jr.",63,"Lieutenant","Volunteer","Sep 1, 2000","Sep 1, 2000","Impact","Trauma","Response","Personal Vehicle Driver/Passenger","Yes","Street/Road","2000"
"69","John","Pritchett, Sr.",57,"Fire Crew Chief","Career","Aug 20, 2000","Sep 3, 2000","Exposure","Burns","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property","2000"
"70","Earnest","Ousley",49,"Lieutenant","Career","Sep 4, 2000","Sep 4, 2000","Stress/Overexertion","Other","On-Duty","Water Supply","No","N/A","2000"
"71","Daniel","Yaklin",21,"Lance Corporal","Career","Sep 4, 2000","Sep 4, 2000","Impact","Trauma","On-Duty","Other","No","Street/Road","2000"
"72","Howard","Van Hoy",67,"Assistant Chief","Volunteer","Sep 5, 2000","Sep 5, 2000","Stress/Overexertion","Heart Attack","Training","Water Supply","No","Outdoor Property","2000"
"73","John","Slade",46,"Lieutenant","Career","Sep 2, 2000","Sep 5, 2000","Stress/Overexertion","Stroke","On-Scene Fire","Search and Rescue","Yes","Institutional","2000"
"74","David","Newman",40,"Pilot","Career","Sep 7, 2000","Sep 7, 2000","Impact","Trauma","On-Duty","Vehicle Passenger","No","Outdoor Property","2000"
"75","Michael","Fossett",45,"Crew Chief","Career","Sep 7, 2000","Sep 7, 2000","Impact","Trauma","On-Duty","Vehicle Driver","No","Outdoor Property","2000"
"76","Michael","Yahraus",32,"Firefighter Paramedic","Career","Sep 11, 2000","Sep 12, 2000","Impact","Trauma","Training","Other","No","Street/Road"," 2000"
"77","Robert","Humphrey",62,"Firefighter","Volunteer","Sep 17, 2000","Sep 17, 2000","Impact","Trauma","On-Scene Emergency","EMS/Patient Care","Yes","Street/Road"," 2000"
"78","George","Butler",47,"Assistant Chief","Volunteer","Sep 19, 2000","Sep 19, 2000","Stress/Overexertion","Heart Attack","On-Scene Emergency","Other","Yes","Street/Road"," 2000"
"79","Bernard","Scannell",70,"Fire Police Captain","Volunteer","Sep 21, 2000","Sep 21, 2000","Stress/Overexertion","Heart Attack","Response","Vehicle Driver","Yes","Street/Road"," 2000"
"80","Kevin","Harsbarger",36,"Firefighter/Secretary","Volunteer","Sep 24, 2000","Sep 24, 2000","Trapped","Suffocation","On-Scene Fire","Ventilation","Yes","Residential"," 2000"
"81","Paul","Husband",33,"Firefighter","Career","Sep 27, 2000","Sep 27, 2000","Impact","Trauma","Response","Vehicle Passenger","Yes","Street/Road"," 2000"
"82","Thomas","Gotkowski",55,"Captain","Volunteer","Oct 1, 2000","Oct 1, 2000","Stress/Overexertion","Heart Attack","On-Duty","Ventilation","No","Residential","2000"
"83","Richard","LeClair",53,"Captain","Career","Oct 10, 2000","Oct 11, 2000","Stress/Overexertion","Other","On-Duty","In-Station Duties","No","N/A"," 2000"
"84","David","Fitzgerald",63,"Firefighter","Career","Oct 13, 2000","Oct 13, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Support","Yes","Street/Road"," 2000"
"85","Kenneth","Miller",65,"Captain","Volunteer","Oct 16, 2000","Oct 16, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
"86","James","Reavis",69,"Captain","Volunteer","Oct 26, 2000","Oct 26, 2000","Stress/Overexertion","Heart Attack","Response","Personal Vehicle Driver/Passenger","Yes","Residential"," 2000"
"87","Robert","Samanas",53,"Firefighter/Paramedic","Career","Oct 31, 2000","Oct 31, 2000","Stress/Overexertion","Heart Attack","Training","Fitness Activity","No","N/A"," 2000"
"88","Gail","VanAuken",41,"Firefighter","Volunteer","Nov 2, 2000","Nov 2, 2000","Impact","Trauma","Response","Vehicle Passenger","Yes","Street/Road","2000"
"89","Jared","McCormick",19,"Firefighter","Volunteer","Nov 2, 2000","Nov 2, 2000","Impact","Trauma","On-Duty","Other","No","Street/Road","2000"
"90","Albert","Rathbun",69,"Firefighter","Volunteer","Oct 8, 2000","Nov 8, 2000","Exposure","Burns","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Outdoor Property","2000"
"91","James","Hill, Sr.",68,"Firefighter-Safety Officer","Volunteer","Nov 9, 2000","Nov 9, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential","2000"
"92","Kenneth","Kerr",44,"Firefighter","Career","Nov 15, 2000","Nov 15, 2000","Stress/Overexertion","Heart Attack","On-Scene Fire","Advance Hose Lines/Fire Attack","Yes","Residential"," 2000"
